plant,line,locked_days,is_line
55,,2.0,False
115,,2.0,False
60,,2.0,False
243,,2.0,False
146,,2.0,False
161,,2.0,False
139,,2.0,False
46,,2.0,False
68,SMT39,1.0,True
68,ASSY313,1.0,True
68,SMT10,1.0,True
8,,2.0,False
164,,2.0,False
95,,2.0,False
124,,2.0,False
226,,2.0,False
158,,2.0,False
251,,2.0,False
22,,2.0,False
173,,2.0,False
168,,2.0,False
228,,2.0,False
174,,2.0,False
224,,2.0,False
49,,2.0,False
135,,2.0,False
128,,2.0,False
210,,2.0,False
234,,2.0,False
262,,2.0,False
246,,2.0,False
209,,2.0,False
73,,1.0,False
33,,2.0,False
261,,2.0,False
245,,2.0,False
69,,1.0,False
194,,2.0,False
198,,2.0,False
56,,2.0,False
225,,2.0,False
17,,2.0,False
137,,2.0,False
188,,2.0,False
216,,2.0,False
37,,2.0,False
31,,2.0,False
53,,2.0,False
185,,2.0,False
129,,2.0,False
266,,2.0,False
241,,2.0,False
10,,2.0,False
48,,2.0,False
199,,2.0,False
235,,2.0,False
166,,2.0,False
171,,2.0,False
163,,2.0,False
195,,2.0,False
89,8,1.0,True
89,BG11,1.0,True
89,BG6,1.0,True
89,29,1.0,True
89,45,1.0,True
89,2,1.0,True
89,5,1.0,True
89,A_ZP04,1.0,True
89,41,1.0,True
89,27,1.0,True
89,39,1.0,True
89,38,1.0,True
89,28,1.0,True
89,34,1.0,True
89,BG7,1.0,True
89,30,1.0,True
89,9,1.0,True
89,42,1.0,True
89,10,1.0,True
89,32,1.0,True
89,7,1.0,True
89,4,1.0,True
89,6,1.0,True
89,40,1.0,True
89,BG8,1.0,True
89,A_ZP45,1.0,True
89,37,1.0,True
89,35,1.0,True
89,33,1.0,True
89,BG9,1.0,True
89,36,1.0,True
89,BG10,1.0,True
257,,2.0,False
101,,2.0,False
223,,2.0,False
108,,2.0,False
91,,2.0,False
112,,2.0,False
227,,2.0,False
148,,2.0,False
176,,2.0,False
159,,2.0,False
258,,2.0,False
36,01,2.0,True
98,,2.0,False
43,,2.0,False
27,,2.0,False
184,,2.0,False
267,,2.0,False
229,,2.0,False
205,,2.0,False
178,,2.0,False
7,,2.0,False
238,,2.0,False
51,,2.0,False
123,,2.0,False
149,,2.0,False
247,,2.0,False
127,,2.0,False
9,,2.0,False
96,,2.0,False
252,,2.0,False
130,,2.0,False
111,,2.0,False
47,,2.0,False
74,,1.0,False
206,,2.0,False
71,,1.0,False
136,,2.0,False
175,,2.0,False
24,,2.0,False
21,,2.0,False
109,,2.0,False
34,,2.0,False
81,,1.0,False
155,,2.0,False
12,,2.0,False
2,,2.0,False
1,,2.0,False
70,,1.0,False
94,,2.0,False
102,,2.0,False
200,,2.0,False
72,7,1.0,True
72,207,1.0,True
202,,2.0,False
190,,2.0,False
177,,2.0,False
106,,2.0,False
14,,2.0,False
253,,2.0,False
116,,2.0,False
125,,2.0,False
35,,2.0,False
134,,2.0,False
181,,2.0,False
154,01,2.0,True
110,,2.0,False
180,,2.0,False
231,,2.0,False
193,,2.0,False
147,,2.0,False
122,,2.0,False
179,,2.0,False
170,,2.0,False
104,,2.0,False
219,,2.0,False
140,,2.0,False
92,,2.0,False
186,,2.0,False
204,,2.0,False
145,,2.0,False
150,,2.0,False
54,,2.0,False
222,,2.0,False
39,,2.0,False
160,,2.0,False
4,,2.0,False
165,,2.0,False
103,,2.0,False
15,,2.0,False
97,,2.0,False
215,,2.0,False
138,,2.0,False
113,,2.0,False
162,,2.0,False
38,,2.0,False
83,,1.0,False
256,,2.0,False
157,,2.0,False
76,,1.0,False
217,,2.0,False
254,,2.0,False
239,,2.0,False
77,,1.0,False
88,A04,1.0,True
88,A07,1.0,True
88,A01,1.0,True
88,A21,1.0,True
88,RCU,1.0,True
88,A02,1.0,True
88,A18,1.0,True
88,A22,1.0,True
88,HLQ,1.0,True
88,A11,1.0,True
88,A08,1.0,True
88,A24,1.0,True
88,A19,1.0,True
88,A09,1.0,True
88,SMT235,1.0,True
88,A16,1.0,True
88,A17,1.0,True
88,A06,1.0,True
88,A20,1.0,True
88,A03,1.0,True
88,A12,1.0,True
88,A23,1.0,True
88,A05,1.0,True
142,,2.0,False
107,,2.0,False
191,,2.0,False
119,,2.0,False
117,,2.0,False
143,,2.0,False
75,,1.0,False
152,,2.0,False
197,,2.0,False
172,,2.0,False
114,,2.0,False
90,,1.0,False
85,,1.0,False
63,,1.0,False
64,,1.0,False
44,,2.0,False
220,,2.0,False
196,,2.0,False
131,,2.0,False
141,,2.0,False
121,,2.0,False
84,,1.0,False
100,,2.0,False
214,,2.0,False
133,,2.0,False
87,,1.0,False
240,,2.0,False
80,NY01,1.0,True
80,NY10,1.0,True
80,SMT_111,1.0,True
80,SMT_78,1.0,True
42,,2.0,False
13,,2.0,False
57,,2.0,False
182,,2.0,False
144,,2.0,False
65,,1.0,False
18,,2.0,False
3,,2.0,False
59,,2.0,False
183,,2.0,False
244,,2.0,False
29,,2.0,False
213,,2.0,False
260,,2.0,False
82,,1.0,False
232,,2.0,False
26,,2.0,False
248,,2.0,False
61,,2.0,False
156,,2.0,False
126,,2.0,False
263,,2.0,False
66,,1.0,False
221,,2.0,False
169,,2.0,False
249,,2.0,False
28,,2.0,False
242,,2.0,False
255,,2.0,False
6,,2.0,False
218,,2.0,False
120,,2.0,False
211,,2.0,False
118,,2.0,False
11,,2.0,False
207,,2.0,False
105,,2.0,False
0,,2.0,False
20,,2.0,False
93,,2.0,False
192,,2.0,False
189,,2.0,False
250,,2.0,False
40,,2.0,False
32,,2.0,False
45,,2.0,False
5,,2.0,False
79,WLAN,1.0,True
79,QY-FAT042,1.0,True
79,QY-FAT043,1.0,True
79,FAT336,1.0,True
79,QY-FAT034,1.0,True
79,FAT040,1.0,True
52,,2.0,False
99,,2.0,False
50,,2.0,False
187,,2.0,False
25,,2.0,False
41,,2.0,False
212,,2.0,False
23,,2.0,False
264,,2.0,False
86,,1.0,False
236,,2.0,False
265,,2.0,False
78,,1.0,False
208,,2.0,False
230,,2.0,False
201,,2.0,False
233,,2.0,False
62,,2.0,False
167,,2.0,False
151,,2.0,False
153,,2.0,False
88,,2.0,False
68,,2.0,False
89,,2.0,False
36,,2.0,False
16,,2.0,False
72,,2.0,False
19,,2.0,False
79,,2.0,False
154,,2.0,False
80,,2.0,False
89,A_BG03,2.0,True
89,A_ZP03,2.0,True
89,A_BG11,2.0,True
89,A_BG10,2.0,True
89,A_ZP07,2.0,True
89,A_ZP22,2.0,True
88,A15,2.0,True
89,A_ZP23,2.0,True
89,FAT085,2.0,True
89,A_ZP10,2.0,True
89,A_ZP19,2.0,True
89,A_BG08,2.0,True
89,A_ZP05,2.0,True
89,A_ZP39,2.0,True
89,A_ZP06,2.0,True
